Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250750705000001,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,96.0,373.0,3.89,4.78,628.28,262223.0,677.7,249212.46,442.84,412577.33,755.96,467872.35,
250750705000002,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,284.0,987.0,3.48,3.96,494.82,939857.42,706.18,1193321.5,367.01,407256.63,622.96,532078.54,
250750705000003,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,187.0,640.0,3.42,3.27,682.05,557960.65,777.7,561845.39,408.33,329491.84,683.4,363574.04,
250750705000004,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,86.0,308.0,3.58,3.16,683.88,280907.3,735.18,264056.65,375.79,214572.47,647.74,193560.95,
250750705000005,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,324.0,1116.0,3.44,3.98,595.39,293978.44,658.38,283573.17,342.69,209615.2,598.77,212923.65,
250750705000006,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,243.0,873.0,3.59,3.18,699.77,400962.57,772.92,386269.66,410.83,295561.85,647.26,312663.25,
250750705000007,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,306.0,1101.0,3.6,3.76,1010.42,1585051.84,1081.08,1619627.62,572.47,883034.5,887.55,1089731.59,
250750705000008,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,286.0,1031.0,3.6,3.66,370.91,219309.18,671.39,195081.83,247.46,148095.08,607.08,144984.12,
250750705000009,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,134.0,466.0,3.48,2.24,626.57,307321.35,699.67,291901.72,339.79,201139.02,606.03,197372.44,
250750705000010,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,244.0,932.0,3.82,3.56,524.5,285583.81,673.57,266238.56,305.92,192357.58,609.54,198211.56,
